,date,geo_code,inf_hosp_intensive,inf_hosp_nonintensive,inf_home,inf_recovered,inf_dead,inf_tot_cum
325,2020-03-11T17:00:00,6,5,16,89,10,6,126
326,2020-03-11T17:00:00,7,34,74,73,5,8,194
327,2020-03-11T17:00:00,8,104,745,739,38,113,1739
328,2020-03-11T17:00:00,9,54,87,173,5,1,320
329,2020-03-11T17:00:00,10,5,7,32,2,0,46
330,2020-03-11T17:00:00,11,66,212,183,0,18,479
331,2020-03-11T17:00:00,12,18,67,40,19,6,150
332,2020-03-11T17:00:00,13,9,17,11,0,1,38
333,2020-03-11T17:00:00,14,3,4,9,0,0,16
334,2020-03-11T17:00:00,15,11,56,82,4,1,154
335,2020-03-11T17:00:00,16,4,38,29,1,5,77
336,2020-03-11T17:00:00,17,1,1,6,0,0,8
337,2020-03-11T17:00:00,18,2,10,5,2,0,19
338,2020-03-11T17:00:00,19,1,23,57,2,0,83
339,2020-03-11T17:00:00,20,0,10,27,0,0,37
340,2020-03-12T17:00:00,1,97,368,89,0,26,580
341,2020-03-12T17:00:00,2,0,7,19,0,1,27
342,2020-03-12T17:00:00,3,605,4247,2044,1085,744,8725
343,2020-03-12T17:00:00,4,9,64,132,4,2,211
344,2020-03-12T17:00:00,5,85,360,852,55,32,1384
345,2020-03-12T17:00:00,6,10,23,115,11,8,167
346,2020-03-12T17:00:00,7,36,100,107,20,11,274
347,2020-03-12T17:00:00,8,112,814,832,43,146,1947
348,2020-03-12T17:00:00,9,59,100,193,7,5,364
349,2020-03-12T17:00:00,10,8,8,46,2,0,64
350,2020-03-12T17:00:00,11,76,254,240,0,22,592
351,2020-03-12T17:00:00,12,20,85,67,19,9,200
352,2020-03-12T17:00:00,13,12,47,19,4,2,84
353,2020-03-12T17:00:00,14,3,4,9,0,0,16
354,2020-03-12T17:00:00,15,11,56,107,4,1,179
355,2020-03-12T17:00:00,16,2,58,38,1,5,104
356,2020-03-12T17:00:00,17,1,1,6,0,0,8
357,2020-03-12T17:00:00,18,2,14,16,1,0,33
358,2020-03-12T17:00:00,19,5,28,78,2,2,115
359,2020-03-12T17:00:00,20,0,12,27,0,0,39
360,2020-03-13T17:00:00,1,135,556,103,0,46,840
361,2020-03-13T17:00:00,2,0,6,21,0,1,28
362,2020-03-13T17:00:00,3,650,4435,2647,1198,890,9820
363,2020-03-13T17:00:00,4,11,78,191,4,4,288
364,2020-03-13T17:00:00,5,107,366,980,100,42,1595
365,2020-03-13T17:00:00,6,8,59,169,11,10,257
366,2020-03-13T17:00:00,7,44,128,132,24,17,345
367,2020-03-13T17:00:00,8,128,942,941,51,201,2263
368,2020-03-13T17:00:00,9,77,134,244,10,5,470
369,2020-03-13T17:00:00,10,10,11,52,2,1,76
370,2020-03-13T17:00:00,11,85,337,276,0,27,725
371,2020-03-13T17:00:00,12,24,122,96,24,11,277
372,2020-03-13T17:00:00,13,14,42,27,4,2,89
373,2020-03-13T17:00:00,14,3,5,9,0,0,17
374,2020-03-13T17:00:00,15,19,60,134,5,2,220
375,2020-03-13T17:00:00,16,2,77,42,3,5,129
376,2020-03-13T17:00:00,17,1,1,8,0,0,10
377,2020-03-13T17:00:00,18,3,18,16,1,0,38
378,2020-03-13T17:00:00,19,7,37,82,2,2,130
379,2020-03-13T17:00:00,20,0,12,31,0,0,43
380,2020-03-14T17:00:00,1,150,538,126,0,59,873
381,2020-03-14T17:00:00,2,0,12,29,0,1,42
382,2020-03-14T17:00:00,3,732,4898,3429,1660,966,11685
383,2020-03-14T17:00:00,4,19,94,256,5,5,379
384,2020-03-14T17:00:00,5,119,366,1290,107,55,1937
385,2020-03-14T17:00:00,6,11,67,193,17,13,301
386,2020-03-14T17:00:00,7,62,213,109,52,27,463
387,2020-03-14T17:00:00,8,152,1076,1121,54,241,2644
388,2020-03-14T17:00:00,9,87,160,367,10,6,630
389,2020-03-14T17:00:00,10,11,21,71,3,1,107
390,2020-03-14T17:00:00,11,93,449,321,0,36,899
391,2020-03-14T17:00:00,12,25,181,114,24,13,357
392,2020-03-14T17:00:00,13,14,51,41,4,2,112
393,2020-03-14T17:00:00,14,3,5,9,0,0,17
394,2020-03-14T17:00:00,15,17,72,154,23,6,272
395,2020-03-14T17:00:00,16,6,91,59,2,8,166
396,2020-03-14T17:00:00,17,2,0,8,0,0,10
397,2020-03-14T17:00:00,18,4,22,33,1,0,60
398,2020-03-14T17:00:00,19,11,42,97,4,2,156
399,2020-03-14T17:00:00,20,0,14,33,0,0,47
400,2020-03-15T17:00:00,1,171,726,133,0,81,1111
401,2020-03-15T17:00:00,2,3,10,43,0,1,57
402,2020-03-15T17:00:00,3,767,5500,3776,2011,1218,13272
403,2020-03-15T17:00:00,4,23,123,420,5,11,582
404,2020-03-15T17:00:00,5,129,426,1434,120,63,2172
405,2020-03-15T17:00:00,6,12,98,206,17,14,347
406,2020-03-15T17:00:00,7,66,253,174,33,33,559
407,2020-03-15T17:00:00,8,169,1215,1357,68,284,3093
408,2020-03-15T17:00:00,9,107,175,481,10,8,781
409,2020-03-15T17:00:00,10,13,25,101,3,1,143
410,2020-03-15T17:00:00,11,98,521,468,0,46,1133
411,2020-03-15T17:00:00,12,31,223,142,24,16,436
412,2020-03-15T17:00:00,13,28,72,28,6,3,137
413,2020-03-15T17:00:00,14,4,3,10,0,0,17
